,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-24,2025-11-25,2025-11-26,2025-11-28,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24
QQQ,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234,-0.059882739218858234
BA,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238,-0.010382693027396238
AAPL,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923,0.04640474715743923
PEP,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525,0.0077242388359641525
KO,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827,0.0038561660350655827
TSLA,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412,0.00578332442608412
BND,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062,0.8718446238782062
GC,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353,0.02692094782223353
NVDA,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172,0.05719638073014172
JNJ,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309,0.07436840422418309
