ticker,action,shares,price,trade_size,current,limit,stop
AAPL,BUY,302,264.18,79664,264.18,270.14,224.55
AMZN,SELL,-61,210,-12808,210,210.8,241.5
EFA,BUY,772,105.38,81298,105.38,105.66,89.57
META,SELL,-49,648.18,-31962,648.18,654.59,745.41
NVDA,BUY,274,177.19,48610,177.19,187.41,150.61
SPY,SELL,-253,685.99,-173623,685.99,689.84,788.89
TAIL,BUY,3176,11.72,37226,11.72,11.74,9.96
TSLA,BUY,30,402.51,12053,402.51,411.42,342.13
USMV,HOLD,0,97.81,-6,97.81,97.84,112.48
VIXY,SELL,-86,27.86,-2393,27.86,28.2,32.04
VNQ,BUY,367,95.69,35116,95.69,95.96,81.34
XLV,SELL,-457,160.2,-73176,160.2,160.22,184.23
